2668,8379,15333,15580
8384,8420,12893,15331
8425,8460,12869,12881
8397,12883,14638,15326
2727,14629,15582
2728,8462,14644,15332
2731,14615
2707,8468,8484,15327
2734,8436,14621,15656
8469,8470,14640,15330
8491,12887,12900,14623
8443,8475,12901,12913
8445,8493,14636
8473,12924,14635,15583
8524,12901,12913,15584
8455,8456,8505,8541
12896,12911,12932,14664
2802,12921,14633,14645
2758,8490,12939,14640
487,14642,14647,15339
2786,8528,15335,15585
2788,12914,14655
12919,13024,15340,15347
2749,2797,2798,14651
2775,2801,12933,15337
2777,8578,12922,12938
8552,12923,14657,15586
479,12955,14647,15339
2808,8524,8555,14659
2784,8525,12956,14648
2772,2820,12945,15340
2823,12934,12950,14665
493,8549,12970,15342
492,8549,12970,14656
2834,14653,14658
2787,12958,12959,15346
8583,8584,12982,14655
2771,8575,14662,14675
8658,12932,13025,14664
8584,12982,12983,12997
2863,8598,12985,12986
11975,15336,15587
2874,12968,14669
504,12970,13008,14656
503,12971,13008,14656
8629,12972,13009,14687
8630,12973,12992,13010
2879,12980,12981,14679
8678,13000,14667,14671
8625,8655,13005,15357
2877,8669,8701,15586
8648,8680,8681,8729
8651,8683,8732,14685
13023,13046,13047,15587
8654,8737,14691
8691,13036,15588
8668,8700,13027,13043
2911,8675,8713,14694
2915,8768,13019,13030
2889,2950,15350,15352
2894,13048,14264
2924,8736,8785,13002
8689,8690,8742,13066
8693,8883,15348,15590
8745,13069,14693
8797,13027,13043
8702,8749,13054,13055
8707,8756,13058
8711,8811,14688,15351
8761,8762,13029,13060
539,8686,15353,15356
8739,8837,14697,15345
2962,13039,13068
8749,8843,13055,15591
2942,8813,14694,14708
2950,8826,13074,15352
2969,13032,14702,15361
2973,8782,8830,13081
4918,8835,13083
530,8929,15353,15356
8790,8882,13037,15358
8792,13052,13067,15595
3005,8793,8841,14704
8890,13054,14699,14706
8843,8844,13089,15591
8805,13090,13091,14700
8812,8853,8854,8903
2995,8855,15360,15593
3001,13063,13075,13108
2971,3018,13076,13077
8836,8927,8928,14696
8881,8935,13065,13084
3026,8839,13094,15594
560,8840,13087,15658
2989,8900,13098,14707
8855,8955,14713
3011,3012,13104,14709
8916,8917,13078,13110
3052,13085,15357
8939,8940,13051,13116
553,13087,13117,15658
8955,13102,13124,14713
3102,13074,13107,13127
8930,8977,13113,14736
3058,8941,9029,15596
13095,13096,13118,13153
9072,13097,13118,13135
13098,13099,13136,14728
3063,3064,8952,9043
9002,9003,9049,14720
3099,8954,9004,13122
3072,13102,13124,13139
3041,9054,13125,14722
9058,13108,13141,14726
8973,9016,9141,14264
3111,9019,13131,14690
3083,8932,15362,15367
3050,9020,14724,15369
8987,9030,13155
580,9040,13120,13168
579,13120,13168,15366
3078,3103,3104,14733
583,9039,9082,14738
582,9039,13156,14738
9101,9102,13143,13172
3112,13148,15373,15659
3154,13134,13166,15376
9114,13154,14767
9092,9160,9161,15374
9094,9129,14732,14743
597,14736,15372
9144,9238,13133,14745
3195,13164,14742
3140,9122,13176,14748
9086,13168,13192,14754
13170,13194,13205,14730
3145,3184,14749,15374
590,9175,13201
9112,9149,9180,9207
9151,9209,15371,15380
3185,13181,13196,14771
3191,14750,14764,15369
9202,13187
3184,13206,14762
