0.0304138126514911,0.03,0.00223606797749979,0.02213594362117866
0.029,0.009,0.010295630140987002,0.034
0.021,0.018,0.009,0.009486832980505138
0.041,0.063,0.01979898987322333,0.0161245154965971
0.009,0.013,0.022,0.012727922061357854
0.032,0.027,0.010295630140987002,0.009
0.013,0.0191049731745428,0.009,0.023
0.018,0.021,0.013601470508735444,0.02340939982143925
0.025455844122715707,0.036
0.041,0.025455844122715707,0.020124611797498106,0.038626415831655936
0.018,0.03712142238654117
0.025455844122715707,0.018,0.018
0.025455844122715707,0.018,0.018
0.036,0.045,0.050911688245431415,0.009
0.025455844122715707,0.0318276609256791,0.013601470508735444,0.012727922061357854
0.009,0.023,0.023,0.009
0.018,0.023259406699226017,0.018,0.008544003745317531
0.013,0.03,0.018384776310850233,0.031064449134018134
0.025,0.032,0.013,0.014764823060233401
0.043,0.009,0.04,0.009486832980505138
0.025,0.032,0.01140175425099138,0.009
0.013,0.010295630140987002,0.018,0.020124611797498106
0.027,0.019,0.027,0.019
0.00447213595499958,0.018973665961010275,0.03
0.015,0.018027756377319945,0.023259406699226017,0.027
0.036,0.009486832980505138,0.0158113883008419,0.052
0.027,0.022360679774997897,0.020124611797498106,0.00824621125123532
0.047,0.04172529209005013,0.02280350850198276,0.024041630560342614
0.014560219778561036,0.02213594362117866,0.025,0.021
0.021213203435596423,0.026832815729997475,0.021213203435596423,0.026832815729997475
0.056,0.04215447781671598,0.018,0.03801315561749643
